confidence_bucket,source,n,predicted_winrate,actual_winrate,bias_pp
0.1-0.2,CalibratedGhosts,5,0.143,0.0,-14.3
0.2-0.3,CalibratedGhosts,2,0.285,0.5,21.5
0.3-0.4,CalibratedGhosts,2,0.339,0.5,16.1
0.4-0.5,CalibratedGhosts,2,0.423,1.0,57.7
0.4-0.5,Terminator2,1,0.48,0.0,-48.0
0.5-0.6,CalibratedGhosts,4,0.512,0.5,-1.2
0.5-0.6,Terminator2,2,0.515,0.5,-1.5
0.6-0.7,CalibratedGhosts,6,0.657,0.5,-15.7
0.7-0.8,CalibratedGhosts,9,0.749,0.889,13.9
0.7-0.8,Terminator2,1,0.7,0.0,-70.0
0.8-0.9,CalibratedGhosts,12,0.866,0.917,5.1
0.8-0.9,Terminator2,5,0.874,0.8,-7.4
0.9-1.0,CalibratedGhosts,7,0.935,0.857,-7.8
0.9-1.0,Terminator2,20,0.968,1.0,3.2
